"SMPT_NORTHING","SMPT_EASTING","SMPT","DATE_TIME","MEAS_RESULT","MEAS_DETERMINAND_CODE","MEAS_SIGN","SAMP_ID"
169143,327659,"EST HOPE FIX ST",2015-07-02 07:02:00,0.01,"0733","<",4623057
169143,327659,"EST HOPE FIX ST",2015-07-02 07:02:00,0.01,"6399","<",4623057
169143,327659,"EST HOPE FIX ST",2015-11-02 09:17:00,0.002,"0714",">",4633358
169143,327659,"EST HOPE FIX ST",2015-11-02 09:17:00,0.002,"0731",">",4633358
169143,327659,"EST HOPE FIX ST",2015-11-02 09:17:00,0.002,"0733",">",4633358
169143,327659,"EST HOPE FIX ST",2015-11-02 09:17:00,0.002,"6399",">",4633358
169143,327659,"EST HOPE FIX ST",2016-02-25 07:24:00,0.00024,"6399",NA,4642670
169143,327659,"EST HOPE FIX ST",2016-02-25 07:24:00,0.00029,"0714",NA,4642670
169143,327659,"EST HOPE FIX ST",2016-02-25 07:24:00,0.00022,"0731",NA,4642670
169143,327659,"EST HOPE FIX ST",2016-02-25 07:24:00,0.00011,"0733",NA,4642670
169143,327659,"EST HOPE FIX ST",2016-05-11 10:14:00,0.0458,"0714",NA,4648175
169143,327659,"EST HOPE FIX ST",2016-05-11 10:14:00,0.0494,"0731",NA,4648175
169143,327659,"EST HOPE FIX ST",2016-05-11 10:14:00,0.0251,"0733",NA,4648175
169143,327659,"EST HOPE FIX ST",2016-05-11 10:14:00,0.0443,"6399",NA,4648175
169143,327659,"EST HOPE FIX ST",2015-09-12 11:21:00,0.01,"0714","<",4629338
169143,327659,"EST HOPE FIX ST",2015-09-12 11:21:00,0.01,"0731","<",4629338
169143,327659,"EST HOPE FIX ST",2015-09-12 11:21:00,0.01,"0733","<",4629338
169143,327659,"EST HOPE FIX ST",2015-09-12 11:21:00,0.01,"6399","<",4629338
169143,327659,"EST HOPE FIX ST",2016-12-15 07:53:00,0.00015,"0714",NA,4667521
169143,327659,"EST HOPE FIX ST",2016-12-15 07:53:00,0.00016,"0731",NA,4667521
169143,327659,"EST HOPE FIX ST",2016-12-15 07:53:00,1e-04,"0733","<",4667521
169143,327659,"EST HOPE FIX ST",2016-12-15 07:53:00,0.00011,"6399",NA,4667521
169143,327659,"EST HOPE FIX ST",2016-06-09 09:28:00,1e-04,"0714","<",4650569
169143,327659,"EST HOPE FIX ST",2016-06-09 09:28:00,1e-04,"0731","<",4650569
